Hospitals,Address,State,Type,Status,COUNTY,Beds,County
DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",PR,GENERAL ACUTE CARE,OPEN,METRO,988,Metro
BROWN CTY COMMUNITY TREATMENT CENTER,3150 GERSHWIN DRIVE,WI,PSYCHIATRIC,OPEN,BROWN,16,Brown
WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WI,GENERAL ACUTE CARE,OPEN,MILWAUKEE,40,Milwaukee
HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,"AVE LAUREL 100, URB. SANTA JUANITA",PR,PSYCHIATRIC,OPEN,BAYAMON,-999,Bayamon
COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,LA,GENERAL ACUTE CARE,OPEN,RAPIDES,18,Rapides
OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,LA,GENERAL ACUTE CARE,OPEN,LAFOURCHE,38,Lafourche
FELICIANA FORENSIC FACILITY,4502 HWY 951,LA,GENERAL ACUTE CARE,OPEN,EAST FELICIANA,-999,East Feliciana
UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,LA,REHABILITATION,OPEN,JEFFERSON,14,Jefferson
RIPON MEDICAL CENTER,845 PARKSIDE ST,WI,CRITICAL ACCESS,OPEN,FOND DU LAC,18,Fond Du Lac
VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,RI,GENERAL ACUTE CARE,OPEN,PROVIDENCE,-999,Providence
TOMAH VA MEDICAL CENTER,500 E VETERANS ST,WI,MILITARY,OPEN,MONROE,-999,Monroe
ASCENSION GOOD SAMARITAN HLTH CTR,601 S CENTER AVE,WI,GENERAL ACUTE CARE,OPEN,LINCOLN,25,Lincoln
RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,CA,PSYCHIATRIC,OPEN,SHASTA,16,Shasta
THE CHAMPION CENTER,303 SOUTH C STREET,CA,REHABILITATION,OPEN,SANTA BARBARA,34,Santa Barbara
STEWART WEBSTER HOSPITAL,580 ALSTON STREET,GA,CRITICAL ACCESS,CLOSED,STEWART,25,Stewart
KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,CA,GENERAL ACUTE CARE,OPEN,SAN BERNARDINO,176,San Bernardino
LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,CA,GENERAL ACUTE CARE,OPEN,SAN BERNARDINO,134,San Bernardino
ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,CA,GENERAL ACUTE CARE,OPEN,SAN BERNARDINO,342,San Bernardino
KAISER FND HOSP - SAN DIEGO,4647 ZION AVENUE,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,414,San Diego
SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,173,San Diego
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,194,San Diego
SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DRIVE,CA,WOMEN,OPEN,SAN DIEGO,206,San Diego
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,390,San Diego
CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,CA,GENERAL ACUTE CARE,OPEN,SAN FRANCISCO,299,San Francisco
CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,CA,GENERAL ACUTE CARE,OPEN,SAN FRANCISCO,309,San Francisco
"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,CA,GENERAL ACUTE CARE,OPEN,SAN FRANCISCO,403,San Francisco
KAISER FND HOSP - SANTA ROSA,401 BICENTENNIAL WAY,CA,GENERAL ACUTE CARE,OPEN,SONOMA,173,Sonoma
KAISER FND HOSP - REHABILITATION CENTER VALLEJO,975 SERENO DRIVE,CA,GENERAL ACUTE CARE,OPEN,SOLANO,248,Solano
WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,CA,GENERAL ACUTE CARE,OPEN,YOLO,108,Yolo
ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,3100 SUMMIT STREET,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,75,Alameda
SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,93,Alameda
ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,217,Alameda
ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 NORTH CALIFORNIA STREET,CA,PSYCHIATRIC,OPEN,SAN JOAQUIN,35,San Joaquin
ST. JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 NORTH CALIFORNIA STREET,CA,GENERAL ACUTE CARE,OPEN,SAN JOAQUIN,364,San Joaquin
FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,105,Los Angeles
GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,334,Los Angeles
KAISER FOUNDATION LOS ANGELES MEDICAL CENTER,4867 SUNSET BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,460,Los Angeles
KAISER PERMANENTE PANORAMA CITY,13652 CANTARA STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,218,Los Angeles
PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,249,Los Angeles
SHRINERS HOSPITAL FOR CHILDREN - L.A.,3160 GENEVA STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,60,Los Angeles
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,107,Los Angeles
ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CA,GENERAL ACUTE CARE,OPEN,LAKE,32,Lake
VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,CA,CHILDREN,OPEN,MADERA,356,Madera
EISENHOWER MEDICAL CENTER,39-000 BOB HOPE DRIVE,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,489,Riverside
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,CA,GENERAL ACUTE CARE,OPEN,SANTA CLARA,404,Santa Clara
KAISER FND HOSP - SANTA CLARA,700 LAWRENCE EXPRESSWAY,CA,GENERAL ACUTE CARE,OPEN,SANTA CLARA,327,Santa Clara
LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD,725 WELCH ROAD,CA,GENERAL ACUTE CARE,OPEN,SANTA CLARA,302,Santa Clara
KAISER FND HOSP - REDWOOD CITY,1100 VETERANS BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,SAN MATEO,149,San Mateo
JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,CA,GENERAL ACUTE CARE,OPEN,CONTRA COSTA,245,Contra Costa
SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,CA,GENERAL ACUTE CARE,OPEN,CONTRA COSTA,145,Contra Costa
KAISER FND HOSP - SACRAMENTO,2025 MORSE AVENUE,CA,GENERAL ACUTE CARE,OPEN,SACRAMENTO,287,Sacramento
SIERRA NEVADA MEMORIAL HOSPITAL,155 GLASSON WAY,CA,GENERAL ACUTE CARE,OPEN,NEVADA,104,Nevada
LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,CA,GENERAL ACUTE CARE,OPEN,ORANGE,141,Orange
SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE,654 CAMINO DE LOS MARES,CA,GENERAL ACUTE CARE,CLOSED,ORANGE,73,Orange
FREMONT MEDICAL CENTER,970 PLUMAS STREET,CA,GENERAL ACUTE CARE,OPEN,SUTTER,46,Sutter
PIEDMONT MOUNTAINSIDE HOSPITAL,1266 EAST CHURCH STREET,GA,GENERAL ACUTE CARE,OPEN,PICKENS,52,Pickens
ST MARYS HEALTH CARE SYSTEM,1230 BAXTER STREET,GA,GENERAL ACUTE CARE,OPEN,CLARKE,196,Clarke
RIDGEVIEW INSTITUTE,3995 SOUTH COBB DRIVE SE,GA,PSYCHIATRIC,OPEN,COBB,216,Cobb
WESTERLY HOSPITAL,25 WELLS ST,RI,GENERAL ACUTE CARE,OPEN,WASHINGTON,125,Washington
ST MARYS HOSPITAL MADISON,700 SOUTH PARK ST,WI,GENERAL ACUTE CARE,OPEN,DANE,440,Dane
AURORA PSYCHIATRIC HSPTL,1220 DEWEY AVE,WI,PSYCHIATRIC,OPEN,MILWAUKEE,105,Milwaukee
COLUMBIA CENTER,13125 N PORT WASHINGTON RD,WI,GENERAL ACUTE CARE,OPEN,OZAUKEE,17,Ozaukee
THEDACARE MEDICAL CENTER BERLIN,225 MEMORIAL DRIVE,WI,GENERAL ACUTE CARE,OPEN,GREEN LAKE,25,Green Lake
MERCY HOSPITAL ROGERS,2710 RIFE MEDICAL LANE,AR,GENERAL ACUTE CARE,OPEN,BENTON,208,Benton
ST CROIX REG MED CTR,235 STATE STREET,WI,GENERAL ACUTE CARE,OPEN,POLK,25,Polk
WESTFIELDS HOSPITAL,535 HOSPITAL RD,WI,GENERAL ACUTE CARE,OPEN,ST. CROIX,25,St. Croix
ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,WI,GENERAL ACUTE CARE,OPEN,SHEBOYGAN,185,Sheboygan
VERNON MEM HSPTL,507 SOUTH MAIN ST,WI,GENERAL ACUTE CARE,OPEN,VERNON,25,Vernon
PIH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,199,Los Angeles
PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,4320 MARICOPA STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,115,Los Angeles
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET,CA,CHILDREN,OPEN,SAN BERNARDINO,343,San Bernardino
ASCENSION NE WISCONSIN MERCY CAMPUS,500 S OAKWOOD RD,WI,GENERAL ACUTE CARE,OPEN,WINNEBAGO,157,Winnebago
MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER,"3800 RESERVOIR ROAD, NW",DC,GENERAL ACUTE CARE,OPEN,DISTRICT OF COLUMBIA,609,District Of Columbia
ADVENT HEALTH DADE CITY,13100 FORT KING RD,FL,GENERAL ACUTE CARE,OPEN,PASCO,120,Pasco
DELRAY MEDICAL CENTER,5352 LINTON BLVD,FL,GENERAL ACUTE CARE,OPEN,PALM BEACH,536,Palm Beach
POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,FL,GENERAL ACUTE CARE,OPEN,OSCEOLA,76,Osceola
ARBOUR FULLER HOSPITAL,200 MAY STREET,MA,PSYCHIATRIC,OPEN,BRISTOL,103,Bristol
ARBOUR HUMAN RESOURCE INSTITUTE,227 BABCOCK STREET,MA,PSYCHIATRIC,OPEN,NORFOLK,66,Norfolk
ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,1670 ST. VINCENT'S WAY,FL,GENERAL ACUTE CARE,OPEN,CLAY,106,Clay
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,2275 SW 22ND LANE,FL,REHABILITATION,OPEN,MARION,60,Marion
"NATCHAUG HOSPITAL, INC.",189 STORRS RD,CT,PSYCHIATRIC,OPEN,TOLLAND,57,Tolland
ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH,5850 SE COMMUNITY DR,FL,REHABILITATION,OPEN,MARTIN,54,Martin
SHRINERS' HOSPITAL FOR CHILDREN,51 BLOSSOM ST,MA,CHILDREN,OPEN,SUFFOLK,30,Suffolk
SPAULDING REHABILITATION HOSPITAL,300 1ST AVE,MA,REHABILITATION,OPEN,SUFFOLK,132,Suffolk
DR JOHN C CORRIGAN MENTAL HEALTH CENTER,49 HILLSIDE STREET,MA,PSYCHIATRIC,OPEN,BRISTOL,16,Bristol
BAY RIDGE HOSPITAL BEVERLY,60 GRANITE STREET,MA,PSYCHIATRIC,OPEN,ESSEX,62,Essex
ENCOMPASS HEALTH HOSPITAL OF WESTERN MASS,222 STATE STREET,MA,REHABILITATION,OPEN,HAMPDEN,53,Hampden
T J HEALTH COLUMBIA,901 WESTLAKE DRIVE,KY,GENERAL ACUTE CARE,OPEN,ADAIR,74,Adair
DECATUR COUNTY HOSPITAL,1405 NORTHWEST CHURCH STREET,IA,GENERAL ACUTE CARE,OPEN,DECATUR,25,Decatur
ANDERSON COUNTY HOSPITAL,421 SOUTH MAPLE STREET,KS,CRITICAL ACCESS,OPEN,ANDERSON,41,Anderson
KEARNY COUNTY HOSPITAL,500 THORPE STREET,KS,CRITICAL ACCESS,OPEN,KEARNY,25,Kearny
OTTAWA COUNTY HEALTH CENTER,215 E 8TH STREET,KS,CRITICAL ACCESS,OPEN,OTTAWA,42,Ottawa
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,148 CHESTNUT STREET,MA,GENERAL ACUTE CARE,OPEN,NORFOLK,58,Norfolk
VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS,4499 ACUSHNET AVENUE,MA,REHABILITATION,OPEN,BRISTOL,90,Bristol
NORWOOD HOSPITAL,800 WASHINGTON ROAD,MA,GENERAL ACUTE CARE,OPEN,NORFOLK,215,Norfolk
SPAULDING REHABILITATION HOSPITAL CAPE COD,311 SERVICE ROAD,MA,REHABILITATION,OPEN,BARNSTABLE,60,Barnstable
CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,230 HIGHLAND AVENUE,MA,GENERAL ACUTE CARE,OPEN,MIDDLESEX,124,Middlesex
SHRINERS' HOSPITAL FOR CHILDREN,516 CAREW ST,MA,CHILDREN,OPEN,HAMPDEN,40,Hampden
MERCY HOSPITAL FORT SMITH,7301 ROGERS AVENUE,AR,GENERAL ACUTE CARE,OPEN,SEBASTIAN,336,Sebastian
HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,1401 SOUTH J STREET,AR,REHABILITATION,OPEN,SEBASTIAN,80,Sebastian
WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,1200 SOUTH MAIN STREET,AR,GENERAL ACUTE CARE,OPEN,WHITE,193,White
WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,3214 EAST RACE AVENUE,AR,GENERAL ACUTE CARE,OPEN,WHITE,286,White
RIVER VALLEY MEDICAL CENTER,200 NORTH THIRD STREET,AR,CRITICAL ACCESS,OPEN,YELL,35,Yell
BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,3050 TWIN RIVERS DRIVE,AR,CRITICAL ACCESS,OPEN,CLARK,25,Clark
MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,AR,CRITICAL ACCESS,OPEN,CARROLL,25,Carroll
EUREKA SPRINGS HOSPITAL,24 NORRIS STREET,AR,CRITICAL ACCESS,OPEN,CARROLL,22,Carroll
SOUTHEAST REHABILITATION HOSPITAL,2729A HWY 65 & 82 S,AR,REHABILITATION,OPEN,CHICOT,15,Chicot
BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,AR,CRITICAL ACCESS,OPEN,BRADLEY,35,Bradley
FIVE RIVER MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,AR,GENERAL ACUTE CARE,OPEN,RANDOLPH,50,Randolph
DALLAS COUNTY MEDICAL CENTER,201 NORTH CLIFTON STREET,AR,CRITICAL ACCESS,OPEN,DALLAS,25,Dallas
CRITTENDEN HOSPITAL ASSOCIATION,200 WEST TYLER AVENUE,AR,GENERAL ACUTE CARE,CLOSED,CRITTENDEN,152,Crittenden
OUACHITA CO. MEDICAL CENTER,638 CALIFORNIA AVENUE,AR,GENERAL ACUTE CARE,OPEN,OUACHITA,100,Ouachita
NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH WILLOW,AR,GENERAL ACUTE CARE,OPEN,BOONE,174,Boone
STONE COUNTY MEDICAL CENTER,"2106 EAST MAIN STREET, HIGHWAY 14 EAST",AR,CRITICAL ACCESS,OPEN,STONE,25,Stone
PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,AR,CRITICAL ACCESS,OPEN,CLAY,25,Clay
BAPTIST HEALTH - HEBER SPRINGS,1800 BYPASS ROAD,AR,CRITICAL ACCESS,OPEN,CLEBURNE,25,Cleburne
ST. VINCENT MORRILTON,4 HOSPITAL DRIVE,AR,CRITICAL ACCESS,OPEN,CONWAY,35,Conway
UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET,AR,GENERAL ACUTE CARE,OPEN,PULASKI,400,Pulaski
BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,AR,GENERAL ACUTE CARE,OPEN,PULASKI,248,Pulaski
UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS,1601 MURPHY DRIVE,AR,PSYCHIATRIC,OPEN,PULASKI,60,Pulaski
LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,300 PROSPECT AVENUE,AR,GENERAL ACUTE CARE,OPEN,GARLAND,89,Garland
HOT SPRINGS REHABILITATION CENTER,105 RESERVE STREET,AR,REHABILITATION,CLOSED,GARLAND,35,Garland
CHI ST VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,AR,GENERAL ACUTE CARE,OPEN,GARLAND,289,Garland
BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,1001 SCHNEIDER DRIVE,AR,GENERAL ACUTE CARE,OPEN,HOT SPRING,72,Hot Spring
ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,7500 CORRECTIONS CIRCLE,AR,GENERAL ACUTE CARE,OPEN,JEFFERSON,27,Jefferson
JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,AR,GENERAL ACUTE CARE,OPEN,JEFFERSON,471,Jefferson
HEALTHSOUTH REHABILITATION HOSPITAL,153 EAST MONTE PAINTER DRIVE,AR,REHABILITATION,OPEN,WASHINGTON,60,Washington
"MEMORIAL HEALTH UNIV MED CEN, INC",4700 WATERS AVENUE,GA,GENERAL ACUTE CARE,OPEN,CHATHAM,512,Chatham
VANTAGE POINT OF NORTHWEST ARKANSAS,4253 CROSSOVER ROAD,AR,PSYCHIATRIC,OPEN,WASHINGTON,114,Washington
NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL,4301 GREATHOUSE SPRINGS ROAD,AR,WOMEN,OPEN,WASHINGTON,64,Washington
ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL,1506 S ONEIDA ST,WI,GENERAL ACUTE CARE,OPEN,OUTAGAMIE,332,Outagamie
MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,AR,GENERAL ACUTE CARE,OPEN,POLK,65,Polk
MERCY HOSPITAL BOONEVILLE,880 WEST MAIN STREET,AR,CRITICAL ACCESS,OPEN,LOGAN,25,Logan
MERCY HOSPITAL PARIS,500 EAST ACADEMY,AR,CRITICAL ACCESS,OPEN,LOGAN,16,Logan
CROSSRIDGE COMMUNITY HOSPITAL,310 SOUTH FALLS BOULEVARD,AR,GENERAL ACUTE CARE,OPEN,CROSS,25,Cross
BAPTIST HEALTH REHABILITATION INSTITUTE,9601 BAPTIST HEALTH DRIVE,AR,REHABILITATION,OPEN,PULASKI,120,Pulaski
ASCENSION SACRED HEART REHAB INST,2301 NORTH LAKE DRIVE,WI,REHABILITATION,OPEN,MILWAUKEE,31,Milwaukee
SANTA CRUZ VALLEY HOSPITAL,4455 SOUTH I-19 FRONTAGE RD,AZ,GENERAL ACUTE CARE,OPEN,PIMA,49,Pima
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ROAD,AR,GENERAL ACUTE CARE,OPEN,ARKANSAS,49,Arkansas
CASEY COUNTY HOSPITAL,187 WOLFORD AVENUE,KY,CRITICAL ACCESS,OPEN,CASEY,24,Casey
MARCUM AND WALLACE MEMORIAL HOSPITAL,60 MERCY COURT,KY,CRITICAL ACCESS,OPEN,ESTILL,25,Estill
HIGHLANDS REGIONAL MEDICAL CENTER,5000 KENTUCKY ROUTE 321,KY,GENERAL ACUTE CARE,OPEN,FLOYD,174,Floyd
NORTON WOMEN'S AND KOSAIR CHILDREN'S HOSPITAL,4001 DUTCHMANS LANE,KY,WOMEN,OPEN,JEFFERSON,373,Jefferson
SAINTS MARY & ELIZABETH HOSPITAL,1850 BLUEGRASS AVENUE,KY,GENERAL ACUTE CARE,OPEN,JEFFERSON,298,Jefferson
THE BROOK - DUPONT,1405 BROWNS LANE,KY,PSYCHIATRIC,OPEN,JEFFERSON,88,Jefferson
BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,KY,GENERAL ACUTE CARE,OPEN,OLDHAM,90,Oldham
ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,MA,REHABILITATION,OPEN,WORCESTER,114,Worcester
EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,200 SPRINGS ROAD,MA,MILITARY,OPEN,MIDDLESEX,147,Middlesex
AMESBURY HEALTH CENTER,24 MORRILL PLACE,MA,GENERAL ACUTE CARE,OPEN,ESSEX,12,Essex
