FID,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B25010_001E,B25010_001M,B25010_002E,B25010_002M,B25010_003E,B25010_003M,B01001_001E,B01001_001M,B01001_calc_PopDensity,created_user,created_date,last_edited_user,last_edited_date,B01001_calc_PopDensityM,SHAPE_Length,SHAPE_Area
36,00161561,01071,2791974056,126334709,Jackson County,Alabama,2.49,0.05,2.53,0.07,2.4,0.16,52094,,18.6584828351285,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.67787993389585,0.287397345906216
37,00161562,01073,2878465205,32885044,Jefferson County,Alabama,2.47,0.02,2.55,0.02,2.33,0.04,659892,,229.251338127605,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.90334175926907,0.282656334666349
38,00161563,01075,1566544637,1600679,Lamar County,Alabama,2.3,0.1,2.38,0.14,2.03,0.18,13933,,8.89409702789082,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.64062414369854,0.152638826648773
39,00161564,01077,1730146083,133608930,Lauderdale County,Alabama,2.35,0.04,2.44,0.05,2.15,0.07,92585,,53.5128223620641,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.42066573571971,0.183810941662778
40,00161565,01079,1788864247,68682382,Lawrence County,Alabama,2.57,0.07,2.54,0.08,2.68,0.19,33171,,18.5430504610001,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.92994846674915,0.182375064873489
41,00161566,01081,1573548952,21492291,Lee County,Alabama,2.58,0.03,2.7,0.05,2.4,0.07,159287,,101.227864438246,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.05272409114167,0.153220856814303
42,00161567,01083,1450277885,122329729,Limestone County,Alabama,2.81,0.05,2.8,0.05,2.85,0.14,93052,,64.1614968844402,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.69340377603508,0.154928095203019
43,00161568,01085,1854201378,23721835,Lowndes County,Alabama,2.43,0.09,2.38,0.11,2.54,0.27,10236,,5.52043597931141,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.35245233478425,0.179522905868569
44,00161569,01087,1576855717,11345392,Macon County,Alabama,2.19,0.07,2.21,0.09,2.15,0.14,19054,,12.0835405513515,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.09898444981364,0.152206277348546
45,00161570,01089,2076091216,28831382,Madison County,Alabama,2.4,0.02,2.51,0.03,2.18,0.04,357560,,172.227500046414,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.41297418116238,0.207254230033889
46,00161572,01091,2530140238,14966620,Marengo County,Alabama,2.48,0.09,2.56,0.1,2.29,0.24,19538,,7.72210160787143,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.63866927331875,0.243547308454093
47,00161573,01093,1922656563,3184076,Marion County,Alabama,2.41,0.08,2.47,0.1,2.24,0.21,29965,,15.5852067273234,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.8993837697082,0.188229934876043
48,00161574,01095,1465531860,148495464,Marshall County,Alabama,2.7,0.04,2.65,0.06,2.8,0.11,95145,,64.921822989232,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.22447261896447,0.158178253298724
49,00161575,01097,3184053031,1074031983,Mobile County,Alabama,2.6,0.02,2.65,0.03,2.51,0.05,414659,,130.229928949949,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.35847051551541,0.310430222483483
50,00161576,01099,2656469661,22609681,Monroe County,Alabama,2.61,0.09,2.68,0.15,2.49,0.22,21512,,8.09796562551444,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.84081821993359,0.254525155919783
51,00161577,01101,2033918497,37844005,Montgomery County,Alabama,2.45,0.03,2.48,0.04,2.4,0.04,226941,,111.578217285862,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.59902156848085,0.198193233209593
52,00161578,01103,1500612908,50921199,Morgan County,Alabama,2.57,0.04,2.6,0.06,2.48,0.09,119122,,79.3822306638455,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.80605588192113,0.152208123485084
53,00161579,01105,1863900621,10937769,Perry County,Alabama,2.82,0.22,2.89,0.31,2.62,0.71,9486,,5.08932713103056,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.16187057838619,0.180172297493791
54,00161580,01107,2282893837,22521210,Pickens County,Alabama,2.49,0.08,2.57,0.1,2.26,0.19,20298,,8.89134644415793,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.2186290419287,0.22313685934553
55,00161581,01109,1740647518,2336975,Pike County,Alabama,2.73,0.1,2.98,0.16,2.36,0.17,33403,,19.1899851374734,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.25618769503258,0.165997461827505
56,00161582,01111,1503615935,9285419,Randolph County,Alabama,2.56,0.1,2.56,0.1,2.53,0.21,22574,,15.013142302193,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.58463037661206,0.146451998428489
57,00161583,01113,1660577613,15641643,Russell County,Alabama,2.53,0.06,2.5,0.09,2.58,0.12,58213,,35.05587425982,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.12560919980674,0.160471802179796
58,00164997,01115,1635844944,56400695,St. Clair County,Alabama,2.65,0.05,2.66,0.06,2.57,0.16,87306,,53.3705840032232,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.44590606076868,0.164598641167825
59,00161584,01117,2034112797,62537787,Shelby County,Alabama,2.66,0.03,2.71,0.03,2.47,0.09,211261,,103.859038845622,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.51109789729718,0.20289289233759
60,00161585,01119,2340898915,24634883,Sumter County,Alabama,2.4,0.12,2.55,0.17,2.11,0.22,12985,,5.5470144040799,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.06409188846758,0.227210674543915
61,00161586,01121,1908256939,60926366,Talladega County,Alabama,2.46,0.05,2.49,0.05,2.37,0.11,80565,,42.219157364741,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.72445255497932,0.190806741289459
62,00161587,01123,1855782851,128806123,Tallapoosa County,Alabama,2.43,0.06,2.38,0.07,2.59,0.17,40636,,21.8969584604702,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.16663310293451,0.19119051006416
63,00161588,01125,3421009204,78715350,Tuscaloosa County,Alabama,2.71,0.04,2.81,0.04,2.53,0.07,206213,,60.2784113409828,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.89422870495039,0.33876517761374
64,00161589,01127,2048686080,36754696,Walker County,Alabama,2.54,0.05,2.55,0.06,2.5,0.14,64493,,31.480176797023,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.38664280301444,0.203046810393711
65,00161590,01129,2797720360,21652733,Washington County,Alabama,2.75,0.12,2.7,0.12,2.99,0.49,16643,,5.94877180648605,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.63299868492038,0.267395655707914
66,00161591,01131,2301075082,49057525,Wilcox County,Alabama,2.77,0.13,2.9,0.21,2.53,0.29,10809,,4.69736954024345,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.69179658387183,0.224265843712578
67,00161592,01133,1587608920,48922726,Winston County,Alabama,2.5,0.09,2.51,0.1,2.45,0.25,23875,,15.038338282957,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.68072794383606,0.159976607666591
68,01419964,02013,18091255385,20800268276,Aleutians East Borough,Alaska,2.6,0.15,2.81,0.2,2.27,0.19,3425,,0.18931798413723,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,39.638230261918,2.65944152113986
69,01419965,02016,11375510886,25186009907,Aleutians West Census Area,Alaska,3.72,0.21,3.3,0.34,3.89,0.23,5750,,0.505471803211635,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,41.5725722492304,1.6130571318253
70,01416061,02020,4419562836,615500204,Anchorage Municipality,Alaska,2.71,0.02,2.8,0.03,2.57,0.05,296112,,67.0002918813575,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.60421126611036,0.754580814773176
71,01419966,02050,105228817205,12768645652,Bethel Census Area,Alaska,3.77,0.1,4.11,0.16,3.24,0.19,18040,,0.171435928666343,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,44.1088800797871,18.1576628338862
72,01419967,02060,1248324005,949768219,Bristol Bay Borough,Alaska,2.45,0.21,2.53,0.28,2.36,0.23,890,89,0.712955928457051,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.0712955928457051,3.02639580193869,0.20715506988304
73,01419988,02068,32729577065,66105677,Denali Borough,Alaska,2.29,0.22,2.39,0.26,1.94,0.39,2232,380,0.0681951983542993,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.011610293626628,15.2416626079221,5.94306929713399
74,01419968,02070,47478023796,5950680491,Dillingham Census Area,Alaska,3.25,0.09,3.6,0.21,2.73,0.22,4975,,0.104785321760152,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,19.770214041419,7.86337863315583
75,01419969,02090,18983364355,273047179,Fairbanks North Star Borough,Alaska,2.61,0.05,2.72,0.07,2.46,0.1,99653,,5.24949098254823,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,13.2803470741541,3.63514232036852
76,01419970,02100,6059513753,1051059522,Haines Borough,Alaska,2.41,0.22,2.64,0.31,1.93,0.36,2518,,0.415544893969977,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,10.3631372956387,0.975154940765255
77,02371430,02105,16981566503,7801359160,Hoonah-Angoon Census Area,Alaska,2.47,0.22,2.46,0.19,2.52,0.44,2132,,0.125547899224925,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,30.3371316943419,2.73537092200821
78,01419971,02110,7002973758,1426663852,Juneau City and Borough,Alaska,2.53,0.05,2.68,0.08,2.27,0.13,32330,,4.61661018835993,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,8.92526445238009,1.13089986221
79,01419972,02122,41500185165,22525337842,Kenai Peninsula Borough,Alaska,2.6,0.04,2.61,0.05,2.58,0.12,58220,,1.40288530686126,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,35.4077147469975,6.95168763070387
80,01419973,02130,12579243763,4651750442,Ketchikan Gateway Borough,Alaska,2.54,0.06,2.7,0.09,2.28,0.12,13804,,1.0973632644438,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,18.5515104251806,1.9082322471864
81,01419974,02150,17133720200,14166823224,Kodiak Island Borough,Alaska,3.05,0.11,3.2,0.16,2.86,0.2,13649,,0.796616253836105,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,38.1617864482341,2.76549205176095
82,01419985,02158,44221226622,6694349084,Kusilvak Census Area,Alaska,4.69,0.16,4.88,0.22,4.12,0.34,8198,,0.185386083250832,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,19.5018992702609,8.06273903189664
83,01419975,02164,61893966490,25992281749,Lake and Peninsula Borough,Alaska,2.99,0.21,2.94,0.24,3.1,0.42,1375,380,0.0222154125511112,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.00613953219594345,33.56195881131,10.6569762208902
84,01419976,02170,64008421559,1456871464,Matanuska-Susitna Borough,Alaska,3.29,0.04,3.41,0.04,2.88,0.09,103464,,1.61641230138181,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,17.3491021127457,11.2058639048865
85,01419977,02180,59497122355,13774270048,Nome Census Area,Alaska,3.27,0.11,3.53,0.12,2.86,0.15,9925,,0.166814790483156,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,40.0465874264858,11.6791561949088
86,01419978,02185,230054122583,15549060273,North Slope Borough,Alaska,3.38,0.21,3.66,0.43,3.1,0.26,9797,,0.0425856311115024,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,60.747585993424,52.9757948370992
87,01419979,02188,92329079390,12875662550,Northwest Arctic Borough,Alaska,3.97,0.12,4.35,0.21,3.5,0.2,7734,,0.0837655920658693,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,42.1546278897963,19.6192361546187
88,02516404,02195,7512557785,2385954337,Petersburg Borough,Alaska,2.72,0.21,2.9,0.26,2.31,0.24,3255,,0.433274537534888,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,12.1149021355042,1.15040254821263
89,01419980,02198,13630515350,14624992705,Prince of Wales-Hyder Census Area,Alaska,2.7,0.09,2.67,0.1,2.79,0.16,6474,,0.474963699740084,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,34.3254135918392,2.13778312440051
90,01419981,02220,7433305216,5037858065,Sitka City and Borough,Alaska,2.37,0.08,2.56,0.11,2.12,0.13,8738,,1.17552014159081,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,12.0469433604028,1.21828544467984
91,02339479,02230,1123881121,28784118,Skagway Municipality,Alaska,2.28,0.29,2.67,0.41,1.88,0.25,1061,123,0.944050024664486,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.109442180050643,2.16497972246137,0.179687737387785
92,01419983,02240,64290686975,751965527,Southeast Fairbanks Census Area,Alaska,3.03,0.15,3.05,0.2,2.98,0.35,6876,,0.106951726969006,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,22.1028008836855,11.8697574750985
93,01419984,02261,88634324631,15756537958,Valdez-Cordova Census Area,Alaska,2.93,0.14,2.84,0.23,3.15,0.56,9301,,0.104936772956997,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,52.4890396014924,15.4217757459969
94,02516402,02275,6619997013,2384375232,Wrangell City and Borough,Alaska,2.26,0.15,2.42,0.18,1.92,0.23,2484,,0.375226755408205,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,13.2754993768889,1.01232658936384
95,01419986,02282,19744199346,3986129001,Yakutat City and Borough,Alaska,2.69,0.21,2.95,0.35,2.24,0.41,689,79,0.0348963251396459,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.00400117516114953,17.2497868904761,3.30204553959144
96,01419987,02290,377034650847,5949465694,Yukon-Koyukuk Census Area,Alaska,2.68,0.09,2.69,0.1,2.65,0.19,5415,,0.0143620751775343,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,63.7169662277801,74.2570812207693
97,00025441,04001,29001320728,54152352,Apache County,Arizona,3.44,0.06,3.4,0.07,3.58,0.17,71522,,2.4661635471983,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,9.31888300486987,2.88312748527434
98,00025442,04003,15966170808,137020196,Cochise County,Arizona,2.38,0.04,2.35,0.05,2.44,0.09,126279,,7.9091600308276,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,5.02089419898343,1.53479554178061
99,00025443,04005,48222143094,110123852,Coconino County,Arizona,2.68,0.04,2.79,0.05,2.5,0.08,140217,,2.9077305777695,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,12.620699726236,4.8217191311739
100,00040471,04007,12323152727,97113523,Gila County,Arizona,2.42,0.06,2.34,0.06,2.62,0.15,53400,,4.33330667751936,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,8.44225331389356,1.20925348454177
101,00025444,04009,11972737302,47477716,Graham County,Arizona,3.12,0.08,3.11,0.12,3.15,0.2,37879,,3.16377107795328,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,5.46273335602712,1.15891461082125
102,00042807,04011,4770701075,13750464,Greenlee County,Arizona,2.92,0.16,2.54,0.21,3.28,0.24,9504,,1.99216003069318,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.43729938587716,0.462745092805665
103,00043540,04012,11653985203,36563337,La Paz County,Arizona,2.3,0.13,2.24,0.14,2.47,0.27,20701,,1.77630223819669,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,5.77359129171399,1.13728748578004
104,00037026,04013,23825949527,64236947,Maricopa County,Arizona,2.76,0.01,2.78,0.02,2.74,0.03,4253913,,178.541173990963,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,8.11972579610622,2.31411017955814
105,00025445,04015,34475503959,387309657,Mohave County,Arizona,2.37,0.03,2.28,0.03,2.57,0.07,206064,,5.97711349615256,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,10.6849968711805,3.47229228487362
106,00042808,04017,25770094216,24078113,Navajo County,Arizona,3.08,0.06,3.08,0.06,3.06,0.1,108705,,4.21826164424761,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,8.74779245381421,2.55956798740908
107,00025446,04019,23794796847,5251370,Pima County,Arizona,2.47,0.01,2.53,0.02,2.37,0.04,1019722,,42.8548311026477,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,7.437030106068,2.27367558263461
108,00025447,04021,13897458216,22344375,Pinal County,Arizona,2.86,0.03,2.73,0.04,3.25,0.09,419721,,30.2012780665733,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,5.94047933362503,1.34163053694604
109,00040472,04023,3203613240,3088046,Santa Cruz County,Arizona,2.99,0.06,2.98,0.1,3.02,0.17,46584,,14.5410811200168,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.54955752734599,0.30445850777417
